"Agency/Department","Contract Number","Contract Value","Supplier","Procurement Type","Description","Type of Solicitation","Effective From","Effective To"
"Public Utilities","21000006171","$1,566,777.77","PRIMORIS T&D SERVICES, LLC - INACTIVE","Invitation to Bid","Replacing agreement 16000015408. Supplier merged and PO's issued but modification not completed before invoice submission. Req. 160009910. Issued to Nov. 30 to allow PO creation to pay invoices.","Construction - Term","2016 Feb 09 12:00:00 AM","2020 Dec 04 12:00:00 AM"
"Parks, Recreation and Community Facilities","20000003604","$360,026.10","LANDWERKS CONTRACTING LLC - INACTIVE","Invitation to Bid","orest Hill Park Path Repairs/190019441","Construction - Capital/Non-Capital","2019 Dec 12 12:00:00 AM","2020 Dec 11 12:00:00 AM"
"Public Works","20000005317","$427,982.45","Burleigh Construction Co., Inc. - INACTIVE","Invitation to Bid","Construction/DPW/ Riverside Drive over Rattlesnake Creek Superstructure/ T190023544","Construction - Capital/Non-Capital","2019 Dec 13 12:00:00 AM","2020 Dec 12 12:00:00 AM"
"Public Works","20000006894","$1,543,541.88","MESSER CONTRACTING LLC","Invitation to Bid","Road Diet-Improve Bicycle Accommodations Project UPC108888/Term 1 of 1/Req.190023643.","Construction - Capital/Non-Capital","2019 Nov 18 12:00:00 AM","2020 Dec 14 12:00:00 AM"
"Public Utilities","20000008305","$10,502.64","Mobiltex Technologies Inc","Agency Request","SS/DPU/Mobiltex Technologies. Device to monitor pipe emissions/Term 1 of 1/Req#200007358.","Equipment - Non Technology","2019 Dec 16 12:00:00 AM","2020 Dec 14 12:00:00 AM"
,"20000007719","$215,000.00","C.H. Johnson Consulting, Inc. - INACTIVE",,"RFP/Services/City Council/Navy Hill Advisory Services/Term 1/RFP 200004837",,"2019 Dec 16 12:00:00 AM","2020 Dec 15 12:00:00 AM"
"City Attorney","15000000308","$198,423.73","Municode LLC - INACTIVE","Request for Proposal","ATTY/Recodification Services Term 2 of 3","Professional Services","2014 Jul 07 12:00:00 AM","2020 Dec 31 12:00:00 AM"
"Public Utilities","19000011993","$1,770,349.02","MESSER CONTRACTING LLC","Invitation to Bid","Burtwood Lane Drainage Improvement Project / Department of Public Utilities / Requisition #181110283 / Agreement #19000011993","Professional Services","2019 Jan 14 12:00:00 AM","2020 Dec 31 12:00:00 AM"
"Public Utilities","17000016232","$1,225,000.00","POLYTEC INC","Invitation to Bid","Calcium Hydroxide Slurry&Chemical System/140019053/180 Day Extension","Commodity","2015 Jan 04 12:00:00 AM","2021 Jan 01 12:00:00 AM"
"Human Resources","16000013767","$2,000,000.00","LEGAL RESOURCES OF VA INC","Cooperative Agreement","Supplemental Benefits/DHR","Non Professional Services, Non Technology","2018 Jan 16 12:00:00 AM","2021 Jan 01 12:00:00 AM"
"Planning & Development Review","18000013510","$205,448.10","DESMAN, INC. - INACTIVE","Request for Proposal","Exp 1/24/21 changed to 8/31/21 and buyer changed to close RFP/Service/PDR/Parking Study for The City of Richmond/ Term 1 of 1/WR17","Professional Services","2020 Jan 25 12:00:00 AM","2021 Jan 24 12:00:00 AM"
"Public Utilities","15000011080","$140,000.00","JB SYSTEMS INC","Agency Request","Main Saver Software Maintenance/Term 4","Non Professional Services, Technology","2016 Jan 29 12:00:00 AM","2021 Jan 27 12:00:00 AM"
"Public Utilities","21000000887","$1,400,000.00","CONSOLIDATED PIPE & SUPPLY","Invitation to Bid","Steel Fittings/Term 3 of 5/160010711","Supplies, Non Technology","2016 Feb 01 12:00:00 AM","2021 Jan 31 12:00:00 AM"
"Economic Development","14000022734","$47,972,293.74","TAYLOR AND PARRISH INC - INACTIVE","Invitation to Bid","IFB / Construction - Capital Project / Department of Public Works / Main Street Station Train Shed Rehabilitation Streetscape an Site Work / Intial","Construction - Capital/Non-Capital","2014 Jun 16 12:00:00 AM","2021 Jan 31 12:00:00 AM"
"Finance","16000011291","$37,000.00","AON RISK SERVICES SOUTH INC","Request for Proposal","Broker of Record Services/Term 4 of 4/JD150021703","Professional Services","2016 Feb 01 12:00:00 AM","2021 Jan 31 12:00:00 AM"
"Public Utilities","16000020978","$1,860,980.19","MEB General Contractors Inc","Invitation to Bid","IFB/Construction/DPU/Westhampton Pumping Station Improvements/Term 1 of 1/","Construction - Capital/Non-Capital","2016 Oct 18 12:00:00 AM","2021 Jan 31 12:00:00 AM"
"Public Works","19000009619","$787,907.69","SIMONS CONTRACTING CO","Invitation to Bid","7/21/21 awaiting confirmation of construction completion - Cannon Creek Connector Phase IV Project UPC 106246/B180027372R","Construction - Capital/Non-Capital","2018 Dec 12 12:00:00 AM","2021 Jan 31 12:00:00 AM"
"Public Works","15000017397","$2,275,000.00","TEREX UTILITIES INC","Invitation to Bid","ET date to 2-1-21 to close Eff.To date set from 25-SEP-2020 to 10-21-20 to submit and approve for closure IFB/Service/DPW/OEM Parts, Repairs, Certifications and Diagnostic for Medium and Heavy Duty Trucks/Term 3 of 4 extended 180 days","Non Professional Services, Non Technology","2020 Mar 26 12:00:00 AM","2021 Feb 01 12:00:00 AM"
"Finance","21000004413","$234,850.00","All Glass & Door, LLC","Agency Request","Emergency contract for glass windows for the John Marshall Courts building","Non Professional Services, Non Technology","2020 Oct 09 12:00:00 AM","2021 Feb 01 12:00:00 AM"
"Public Utilities","16000003080","$1,300,000.00","FERGUSON ENTERPRISES INC","Invitation to Bid","Clamps, Gas and Water/Term 5 of 5/H150022239 180 days extension 08/12/20/to 02/08/21","Equipment - Non Technology","2020 Aug 12 12:00:00 AM","2021 Feb 08 12:00:00 AM"
,"19000011373","$10,368,585.00","ABC BUILDERS SUPPLY - INACTIVE",,"IFB/Construction/Jahnke Rd Improvement Project/180029943/Term 1 of 1",,"2019 Feb 22 12:00:00 AM","2021 Feb 11 12:00:00 AM"
"Public Utilities","16000003834","$245,500.00","MILLER PIPELINE LLC","Invitation to Bid","Joint Encapsulation Kits/Term 3 /150026069","Supplies, Non Technology","2015 Aug 20 12:00:00 AM","2021 Feb 16 12:00:00 AM"
,"19000011373","$10,368,585.00","Branch Builds, Inc.",,"IFB/Construction/DPW/Jahnke Road UPC19035/180029943/Term 1 of 1",,"2019 Feb 22 12:00:00 AM","2021 Feb 19 12:00:00 AM"
"Police Department","19000014914","$1,000,000.00","ATLANTIC DIVING SUPPLY INC","Invitation to Bid","Bomb Suits/190014003/Term 1 of 5","Supplies, Non Technology","2019 Feb 23 12:00:00 AM","2021 Feb 22 12:00:00 AM"
"Finance","17000015763","$150,000.00","CHERRY BEKAERT LLP - INACTIVE","Cooperative Agreement","5 yrs.from date of award/ 3-one (1) year renewal options/ County of Fairfax Contract No. 4400006639","Professional Services","2017 Mar 09 12:00:00 AM","2021 Feb 22 12:00:00 AM"
"Information Technology","14000016443","$1,033,909.80","ORACLE AMERICA INC","Request for Proposal","Software Update License & Support services - Oracle contract No. 5038467 former covered and paid under 10243O-1.","Non Professional Services, Technology","2014 Feb 25 12:00:00 AM","2021 Feb 24 12:00:00 AM"
"Public Works","19000020740","$771,134.85","BROOKS AND COMPANY GENERAL CONTRACTORS INC","Invitation to Bid","IFB/Construction/DPW/ City of Richmond (COR) Communications & Production Studio/T190009733","Construction - Term","2019 May 24 12:00:00 AM","2021 Feb 26 12:00:00 AM"
"Public Utilities","16000004272","$300,000.00","Core & Main LP","Invitation to Bid","Stainless Steel Tapping With Mechanical Joint Outlet/Term 5 of 5/150026521","Supplies, Non Technology","2020 Aug 31 12:00:00 AM","2021 Feb 27 12:00:00 AM"
"Public Utilities","21000000888","$300,000.00","Core & Main LP","Invitation to Bid","Stainless Steel Tapping With Mechanical Joint Outlet/Term 5 of 5/150026521","Supplies, Non Technology","2020 Aug 31 12:00:00 AM","2021 Feb 27 12:00:00 AM"
"Public Works","15000014906","$550,000.00","Bug Busters Pest Control Svcs Inc","Invitation to Bid","Extermination Maintenance Services/Term 3 of 3","Non Professional Services, Non Technology","2015 Mar 05 12:00:00 AM","2021 Mar 01 12:00:00 AM"
"Public Works","16000004637","$2,000,000.00","Cargill Inc -Deicing Technology - INACTIVE","Invitation to Bid","180 Day extension to 3/2/21","Supplies, Non Technology","2015 Sep 03 12:00:00 AM","2021 Mar 02 12:00:00 AM"
"Police Department","21000007515","$9,714.62","SPACESAVER STORAGE SOLUTIONS","Cooperative Agreement","Requisition 210007679/EVIDENCE LOCKER - #EDRSHH6NPT 6 DOOR HALF HT FRIDGE NON PAS THRU 84 CONTRACT # GS-07F-022BA","Equipment - Non Technology","2021 Jan 08 12:00:00 AM","2021 Mar 08 12:00:00 AM"
"Public Works","16000005101","$260,000.00","BINSWANGER HOLDING CORPORATION","Invitation to Bid","IFB/COMMODITY/DPW/Automotive glass and allied parts for windshield repair/ Extension - 9/11/2020 to 3/10/2021","Supplies, Non Technology","2015 Sep 11 12:00:00 AM","2021 Mar 10 12:00:00 AM"
"Public Utilities","18000013338","$9,900,000.00","HMI Services","Invitation to Bid","Annual Gas Renewal Services/Term 2 of 5 /160009110 (formerly Contract# 16000015412)","Construction - Term","2017 Mar 15 12:00:00 AM","2021 Mar 14 12:00:00 AM"
"Finance","16000005459","$159,000.00","Robinson Farmer Cox Assoc. - INACTIVE","Request for Proposal","Cost Allocation Services/180 day extension","Professional Services","2015 Sep 16 12:00:00 AM","2021 Mar 15 12:00:00 AM"
,"17000016108","$1,000,000.00","Custom Utility Equipment of Va",,"REPLACED BY AGREEMENT 20000008976 IFB/Service/DPW/OEM Parts and Labor on International, Peterbilt, Kenworth, and Freightliner Trucks/Term 1 of 3/170009576R",,"2017 Mar 21 12:00:00 AM","2021 Mar 20 12:00:00 AM"
"Public Utilities","20000011035","$619,347.35","MESSER CONTRACTING LLC","Invitation to Bid","Forest View Neighborhood Pervious Alleys Construction Project / Department of Public Utilities / Requisition #200008537 / 240 Calendar Day Execution","Non Professional Services, Non Technology","2020 Jun 24 12:00:00 AM","2021 Mar 21 12:00:00 AM"
"Public Utilities","15000019343","$15,400,000.00","POSSIE B CHENAULT INC","Invitation to Bid","IFB #150016030 / Annual Construction Contract / Department of Public Works / Annual Sewer Repair and Replacement Services(Small Diameter Pipe) Sewer Maintenance Crew Support / Final Term Four (4) of Four (4) - One (1) year renewals.","Non Professional Services, Non Technology","2015 May 01 12:00:00 AM","2021 Mar 25 12:00:00 AM"
"Public Utilities","15000019310","$10,500,000.00","G.L. HOWARD INC","Invitation to Bid","/Annual Sewer Repair and Replacement Services(Small Diameter Pipe) - Sewer Maintenance Crew Support/ Term 3 of 4","Non Professional Services, Non Technology","2015 Apr 10 12:00:00 AM","2021 Mar 26 12:00:00 AM"
"Fire and Emergency Services","17000010425","$326,289.53","FDM SOFTWARE LTD - INACTIVE","Agency Request","Records Mang. SRVC (FDM)/3 years with 2-1 year renewal options","Non Professional Services, Non Technology","2017 Mar 28 12:00:00 AM","2021 Mar 27 12:00:00 AM"
"Public Works","20000004950","$206,556.35","Earley Contracting Corp - INACTIVE","Invitation to Bid","IFB/Construction/DPW/CSX Joint Replacement Project/200002763","Construction - Capital/Non-Capital","2019 Dec 04 12:00:00 AM","2021 Mar 30 12:00:00 AM"
"Public Utilities","15000017814","$695,452.63","PRYOR HAULING INC","Request for Proposal","Annual Building Demolition and Stabilization Construction Services/Term 3 of 3/150010903 extended 1 year 2021","Construction - Term","2015 Apr 01 12:00:00 AM","2021 Mar 31 12:00:00 AM"
"Planning & Development Review","15000017815","$695,452.63","SB COX INC","Request for Proposal","RFP #150010903 / Construction / Planning & Development Review / Annual Building Demolition and Stabilization Construction Services / Term One (1) year contract extension no 3","Construction - Capital/Non-Capital","2020 Apr 01 12:00:00 AM","2021 Mar 31 12:00:00 AM"
"Public Utilities","17000017912","$1,000,000.00","DNV GL Noble Denton USA LLC","Request for Proposal","Software DPU","Non Professional Services, Technology","2012 Apr 03 12:00:00 AM","2021 Apr 02 12:00:00 AM"
"Public Utilities","15000020048","$8,000,000.00","POSSIE B CHENAULT INC","Invitation to Bid","Stormwater Annual Services Contract/Term 5 of 5/150016620","Non Professional Services, Non Technology","2015 Apr 27 12:00:00 AM","2021 Apr 10 12:00:00 AM"
"Public Utilities","15000020050","$7,500,000.00","MESSER CONTRACTING LLC","Invitation to Bid","Stormwater Annual Services Contract/Term 5 of 5","Non Professional Services, Non Technology","2015 Apr 27 12:00:00 AM","2021 Apr 10 12:00:00 AM"
"Public Works","20000001838","$7,421,777.00","ALLAN MYERS VA INC","Invitation to Bid","Original Eff To 10/2/2020. Changed to approve for closure. 1” Mill & Overlay Paving Program/Initial Term 1 Year/190024007","Construction - Term","2019 Sep 09 12:00:00 AM","2021 Apr 10 12:00:00 AM"
"Public Works","21000007785","$25,000.00","MAYER ELECTRIC SUPPLY CO INC","Cooperative Agreement","Requisition 210008332/MAYER Quote #1137368: Electrical Supplies using COOP Contract #UVA1473778 (Misc. Bldgs. - 1550)","Supplies, Non Technology","2021 Jan 11 12:00:00 AM","2021 Apr 10 12:00:00 AM"
,"19000016026","$10,000,000.00","JACOBS ENGINEERING GROUP - INACTIVE",,"RFP/Services/DPU/Construction Mgmt & Inspection Services/Term 1 of 3/E180022828",,"2019 Apr 12 12:00:00 AM","2021 Apr 11 12:00:00 AM"
"Parks, Recreation and Community Facilities","18000019887","$5,870.00","Miracle Recreation Equipment Company, Inc","Cooperative Agreement","freestanding playground equipmen","Equipment - Non Technology","2018 Mar 23 12:00:00 AM","2021 Apr 21 12:00:00 AM"
"Public Utilities","19000016865","$7,859,214.80","MESSER CONTRACTING LLC","Invitation to Bid","IFB/Construction/DPU/Annual Sewer and Stormwater Repair/Replacement and New Installations for Capital Improvement Projects/Term 2 of 5/G190014614 - (Note this has been extended to process P.O. 19000016895)","Construction - Capital/Non-Capital","2019 Apr 09 12:00:00 AM","2021 Apr 26 12:00:00 AM"
"Public Works","17000013563","$11,155,300.00","QUARLES PETROLEUM INC - INACTIVE","Cooperative Agreement","Org. Eff. To 4/21/21- extended to approve and close Fuel and Fuel Cards/Term 5 of 5 / Need to close / Hanover made new contract and ended this one. New contract is 21000011354","Non Professional Services, Non Technology","2016 Mar 16 12:00:00 AM","2021 Apr 29 12:00:00 AM"
"Public Utilities","20000013093","$379,455.00","GasTech Engineering LLC - INACTIVE","Invitation to Bid","Natural Gas Bath Heaters/1yr base w/ 1-one yr renewal option/Req. 200006092.","Equipment - Non Technology","2020 May 01 12:00:00 AM","2021 May 01 12:00:00 AM"
"Public Utilities","19000021059","$5,000,000.00","UNIVAR SOLUTIONS USA INC","Cooperative Agreement","Utilize Chesterfield County COOP Contract 16-1382/1 yr base w/ 5 one-year renewal options.","Commodity","2019 May 01 12:00:00 AM","2021 May 07 12:00:00 AM"
"Public Utilities","15000020515","$11,000,000.00","G.L. HOWARD INC","Invitation to Bid","Eff. To extended from 4/27 to 5/5 to allow payment of invoices. Annual Sewer Repair and Replacement Services(Large Diameter Pipe) - Sewer Maintenance Crew Support/ Term 3 of 4.","Non Professional Services, Non Technology","2015 Apr 28 12:00:00 AM","2021 May 10 12:00:00 AM"
"Public Utilities","16000021445","$19,597,810.75","Tidewater Utility Construction","Invitation to Bid","Annual Sewer Repair and Replacement/Term 3 of 5","Non Professional Services, Non Technology","2016 May 19 12:00:00 AM","2021 May 31 12:00:00 AM"
"Public Works","21000008027","$63,147.70","Clark Equipment Company - INACTIVE","Cooperative Agreement","Requisition 210007500/Clark Equipment Company 2020 Bobcat S740 T4 Bobcat Skid Steer Machine $63,147.70","Equipment - Non Technology","2021 Jan 21 12:00:00 AM","2021 May 31 12:00:00 AM"
"Public Utilities","18000013270","$28,244.43","HACH COMPANY","Agency Request","Repairs/term2 of 3 renewals","Non Professional Services, Non Technology","2018 Jun 06 12:00:00 AM","2021 Jun 05 12:00:00 AM"
"Emergency Communication","16000023675","$989,445.25","Intrado Inc - INACTIVE","Cooperative Agreement","Replaced by 21/6310 Supplier name change COOP/Com/DEC/911 Equipment & emergency Notification Software and Services /5 years/Houston -Galveston Area Council Contract No. EC07-14","Non Professional Services, Technology","2016 Jun 17 12:00:00 AM","2021 Jun 16 12:00:00 AM"
"Emergency Communication","21000006310","$247,000.00","Intrado Life & Safety Solutions Corp","Cooperative Agreement","Cooperative Agreement / Department of Emergency Communications / Replaces Agreement #16000023675","Non Professional Services, Technology","2020 Nov 24 12:00:00 AM","2021 Jun 16 12:00:00 AM"
