
title,endpoint
"Summary State Funding for Highways, 2000-2023 (SF-21)",https://data.virginia.gov/api/action/datastore_search?resource_id=00721df6-5571-4d2f-8065-33d2dad390b8&limit=0
County Trails,https://data.virginia.gov/api/action/datastore_search?resource_id=00b253a3-0824-4bd6-b54a-2a6daee03152&limit=0
FY 2021_NCVAS Healthcare and Benefits Data For State Summaries,https://data.virginia.gov/api/action/datastore_search?resource_id=00e05406-904c-4b13-b87c-8586e2ffaf52&limit=0
featAuto_briefType,https://data.virginia.gov/api/action/datastore_search?resource_id=0101fae4-6285-43c4-91e7-d61e506089f9&limit=0
2019 State Occupational Injuries and Illness Incidence Rates,https://data.virginia.gov/api/action/datastore_search?resource_id=0102aef6-4f14-4ff8-be38-0fbbbdaff6a3&limit=0
EMS Heat-related Illness Incidents by Gender and Year,https://data.virginia.gov/api/action/datastore_search?resource_id=011c98f8-30bf-486b-9e3c-2fb2530f0b7a&limit=0
Free Negro Registers,https://data.virginia.gov/api/action/datastore_search?resource_id=011e7a15-7ae7-450c-b4fd-09ed40191b33&limit=0
VDH PUD HAI ACH Priority Element,https://data.virginia.gov/api/action/datastore_search?resource_id=0162e764-9054-43a1-adeb-5339859a5567&limit=0
Reservoir (2024 Final WQA IR Assessment),https://data.virginia.gov/api/action/datastore_search?resource_id=01694800-cd1c-494d-9cf8-a25859172dd1&limit=0
Medicaid Drug Rebate Program State Contact Information,https://data.virginia.gov/api/action/datastore_search?resource_id=01a55314-7695-4741-a0de-80384d785d3b&limit=0
Employer Data- Virginia,https://data.virginia.gov/api/action/datastore_search?resource_id=01a5bd84-5e55-4307-9c83-175a8abd88d5&limit=0
Massachusetts Department of Transportation (MassDOT) Work Zone Data Exchange (WZDx) v2.0 Feed Sample,https://data.virginia.gov/api/action/datastore_search?resource_id=01ac8b40-6aad-4704-9fb9-b9e7cc2390fa&limit=0
Buildings,https://data.virginia.gov/api/action/datastore_search?resource_id=01e51a88-e156-42c6-8390-52e417d64cc0&limit=0
DPR Lighting Points,https://data.virginia.gov/api/action/datastore_search?resource_id=01eebfa9-edb5-43e6-b04d-8b6e62d965e4&limit=0
featAuto_states_measures_download,https://data.virginia.gov/api/action/datastore_search?resource_id=01f3f8c3-b7b0-44b9-b3b4-00fa7f365398&limit=0
"Monthly Special Fuel Reported by State, 2002-2023 (MF-33SF)",https://data.virginia.gov/api/action/datastore_search?resource_id=02033f95-8cb3-4433-990b-492794062bea&limit=0
Biological Sampling Data,https://data.virginia.gov/api/action/datastore_search?resource_id=02654fc9-57fc-4b15-9789-3afc9c0c12cb&limit=0
Virginia Pollutant Discharge Elimination System (VPDES) Permit Outfalls,https://data.virginia.gov/api/action/datastore_search?resource_id=027945b8-d072-4fed-93c2-4a65b72e419d&limit=0
Zoning,https://data.virginia.gov/api/action/datastore_search?resource_id=029c808c-63e0-4e98-96b2-6cd7a73168ef&limit=0
Massachusetts Department of Transportation (MassDOT) Work Zone Data Exchange (WZDx) v3.1 Feed Sample,https://data.virginia.gov/api/action/datastore_search?resource_id=02e26af1-1e49-4e54-a252-c0408b2780eb&limit=0
Easements,https://data.virginia.gov/api/action/datastore_search?resource_id=032fb5c2-5acd-47c7-91f8-d343af3d46a0&limit=0
Public Employment Risk Reduction Program (PERRP) Frequently Cited Standards - OHIO,https://data.virginia.gov/api/action/datastore_search?resource_id=035a995d-6a04-42cf-9edd-c109b8140447&limit=0
Wetlands layer,https://data.virginia.gov/api/action/datastore_search?resource_id=03b0bca8-0b8c-4a8c-ab01-127696b43052&limit=0
Home Schooled Students & Religious Exemptions 2008-09,https://data.virginia.gov/api/action/datastore_search?resource_id=03b18664-4c06-4a96-8042-836d92f40d5f&limit=0
Virginia Water Protection (VWP) Project Boundaries,https://data.virginia.gov/api/action/datastore_search?resource_id=03e46878-5a44-4f11-bcbc-0b81bd286545&limit=0
VDH-PUD-FAI-By-Demographics,https://data.virginia.gov/api/action/datastore_search?resource_id=03f9bbce-abc3-49fe-9034-4b9316c6cf24&limit=0
VDOT Structure Exclusions,https://data.virginia.gov/api/action/datastore_search?resource_id=0403381d-8b64-4aaa-bc6e-5e0beaa2edac&limit=0
VSRR Provisional Drug Overdose Death Counts,https://data.virginia.gov/api/action/datastore_search?resource_id=045137ba-ae31-4f0e-8146-b4c0849c4f64&limit=0
Streets,https://data.virginia.gov/api/action/datastore_search?resource_id=0477dfbb-b117-40dc-aa20-c6e7ca5f33ee&limit=0
Locations of Docked Bikeshare Stations by System and Year,https://data.virginia.gov/api/action/datastore_search?resource_id=05150d56-eb5a-4b25-b66b-a653d696d239&limit=0
HPMS Urban Area Summaries 2022,https://data.virginia.gov/api/action/datastore_search?resource_id=05654325-fab9-4334-8323-c28f1fe30f9c&limit=0
Fishing and Hunting License Sales - Fiscal Year 2023,https://data.virginia.gov/api/action/datastore_search?resource_id=05a15503-bb65-4dbb-85eb-f5bdb8cf4636&limit=0
2022 - 2024 NTD Annual Data - Breakdowns,https://data.virginia.gov/api/action/datastore_search?resource_id=05c5d606-26dc-4cbf-baa8-fa9086607142&limit=0
Towing,https://data.virginia.gov/api/action/datastore_search?resource_id=05de127a-21dd-4e9d-adb8-b5c68368b628&limit=0
CDC Epidemic Trends and Rt,https://data.virginia.gov/api/action/datastore_search?resource_id=05e4d596-1870-405c-9147-fb5b542905a7&limit=0
VDH PUD HAI C auris Case Count,https://data.virginia.gov/api/action/datastore_search?resource_id=05ec5832-1a9a-4e53-8ea7-6e8c001a6187&limit=0
2022 State Occupational Injury and Illness Counts,https://data.virginia.gov/api/action/datastore_search?resource_id=05ec9c89-1a38-4332-b432-0eda4f2b0d43&limit=0
CAP Regions,https://data.virginia.gov/api/action/datastore_search?resource_id=0610e93b-56e3-421a-9071-6ba10503f61f&limit=0
Maryland's Counties - NAICS: 2010-2020 Historical and 2025-2050 Projected,https://data.virginia.gov/api/action/datastore_search?resource_id=0627df4b-b04a-4605-99fa-4673879f476a&limit=0
Candidate for Listing species with spatial current range,https://data.virginia.gov/api/action/datastore_search?resource_id=06725dd7-674e-4f14-8ed1-0164b203813f&limit=0
Employee Salaries,https://data.virginia.gov/api/action/datastore_search?resource_id=0688cd96-3cec-430b-80a7-7a7750ae21d0&limit=0
FY 2021_NCVAS Period of Service Over Time For State Summaries,https://data.virginia.gov/api/action/datastore_search?resource_id=068a60ec-23b5-43ed-bed1-00d23d0600dc&limit=0
UtilityEasement layer,https://data.virginia.gov/api/action/datastore_search?resource_id=06965699-beb2-4c1b-a714-e86925989de1&limit=0
SpecialAreaPlansBoundary layer,https://data.virginia.gov/api/action/datastore_search?resource_id=06973eac-11c2-40b8-9d5e-e58c7e788d7e&limit=0
Maryland's Counties - NAICS: 2010-2020 Historical and 2025-2050 Projected,https://data.virginia.gov/api/action/datastore_search?resource_id=06d4332c-88bc-4e2c-b825-470943630118&limit=0
Candidate Species Report,https://data.virginia.gov/api/action/datastore_search?resource_id=070f2768-6a43-4ca7-9360-39de5be54d29&limit=0
Persons Aged 21 - 64 with Disabilities enrolled with the Office of Long Term Living's Community HealthChoices Waiver Program Statewide Human Services PA,https://data.virginia.gov/api/action/datastore_search?resource_id=0730f51c-51ff-4534-a425-ca3bbc91ed26&limit=0
2022 - 2024 NTD Annual Data - Metrics,https://data.virginia.gov/api/action/datastore_search?resource_id=075c8b7c-b641-4ea5-b423-3b7faea6a936&limit=0
Bedford County Middle School Attendance Zones - Open Data,https://data.virginia.gov/api/action/datastore_search?resource_id=0773a9d8-a858-4c8c-b5db-61d865eade4d&limit=0
Citations,https://data.virginia.gov/api/action/datastore_search?resource_id=07c80bba-2537-4918-bade-00f92c41ed96&limit=0
Demographics Data on Aging in Virginia,https://data.virginia.gov/api/action/datastore_search?resource_id=07dedbc3-6585-4077-8808-3dd4f14ca5b2&limit=0
2018 State Occupational Injury and Illness Counts,https://data.virginia.gov/api/action/datastore_search?resource_id=084916ac-7867-4d6b-a49a-5fd00f5c97fa&limit=0
Storm Drainage Manhole,https://data.virginia.gov/api/action/datastore_search?resource_id=084deff2-da68-4df3-a075-537100227a30&limit=0
AddressPoints layer,https://data.virginia.gov/api/action/datastore_search?resource_id=087474c3-2e1f-438e-baba-98b1d31e047e&limit=0
Tax Administration's Real Estate - Sales Data,https://data.virginia.gov/api/action/datastore_search?resource_id=089c0448-9141-40d7-9ecb-e35de164f0d7&limit=0
Virginia Water Protection (VWP) Permittee Responsible Mitigation Area (PRMA) Boundaries,https://data.virginia.gov/api/action/datastore_search?resource_id=08f24dd9-6117-41ad-bd4c-f150edee8f89&limit=0
VDH PUD Overdose ED Visits by Health Region and Month,https://data.virginia.gov/api/action/datastore_search?resource_id=0902df54-f39a-425d-8d5a-08b37412290a&limit=0
Startup Firms in Virginia,https://data.virginia.gov/api/action/datastore_search?resource_id=0956fca4-9f41-455d-a4d5-1adf11286f8a&limit=0
Injury/Illness Summary - Casualty Data (Form 55a),https://data.virginia.gov/api/action/datastore_search?resource_id=0977e456-d11d-4175-8ee4-1f0050a15286&limit=0
Existing,https://data.virginia.gov/api/action/datastore_search?resource_id=098efad7-509b-46a1-9a78-6521be010c70&limit=0
Virginia Bar Exam Pass Rates 2021,https://data.virginia.gov/api/action/datastore_search?resource_id=09adc143-b7ca-47fc-af71-3ec3f4eb8ace&limit=0
Bedford County Congressional Boundary - Open Data,https://data.virginia.gov/api/action/datastore_search?resource_id=09df0f01-481d-467b-a91e-0bc56a09965d&limit=0
Inmate Vocational Training Status CY 2018 - Current Monthly County Corrections -PA,https://data.virginia.gov/api/action/datastore_search?resource_id=0a0f4ab0-c356-48bd-9a31-1e88b1c4d57e&limit=0
Government Centers,https://data.virginia.gov/api/action/datastore_search?resource_id=0a6141f6-701e-466d-badc-11b5d0e8eb1a&limit=0
LTE-V2X Wyoming Connected Vehicle Pilot test ID WFCW-3 Rep 2,https://data.virginia.gov/api/action/datastore_search?resource_id=0a69d9a2-549d-4706-a31d-4299849a65ef&limit=0
Parks,https://data.virginia.gov/api/action/datastore_search?resource_id=0ab94f9c-5834-494e-8561-37bd64296fb2&limit=0
2022 - 2024 NTD Annual Data - Funding Sources (Local),https://data.virginia.gov/api/action/datastore_search?resource_id=0ac3747e-e033-4729-afa2-652e544f495c&limit=0
ACS 5-Year Sex by Occupation-NC,https://data.virginia.gov/api/action/datastore_search?resource_id=0addb804-f7c8-4e97-b95a-15e79c325d4b&limit=0
featAuto_measure_allStates,https://data.virginia.gov/api/action/datastore_search?resource_id=0b51767e-e6c1-4991-a9f7-df42481df922&limit=0
1997-1998 Fall Membership Division Summaries by Ethnic Group,https://data.virginia.gov/api/action/datastore_search?resource_id=0b7c91e1-17e6-4eda-8f63-68cd5fa3c561&limit=0
Species with 4d Rules,https://data.virginia.gov/api/action/datastore_search?resource_id=0b95c628-9bb3-48e2-9c4d-916032255bca&limit=0
"Weekly Cumulative Influenza Vaccination Coverage by Flu Season, Selected Demographics, and Race and Ethnicity Among Children 6 Months-17 Years, United States",https://data.virginia.gov/api/action/datastore_search?resource_id=0bbd42b0-fdec-4070-8143-cb2d3196f9c9&limit=0
devAuto_map,https://data.virginia.gov/api/action/datastore_search?resource_id=0bf70989-a493-4a48-8d3b-751f3bb355bd&limit=0
Proposed for Listing Species,https://data.virginia.gov/api/action/datastore_search?resource_id=0c18dd7c-ff56-4c8f-9cfc-c66dd2e11152&limit=0
Washington Health Workforce Survey Data,https://data.virginia.gov/api/action/datastore_search?resource_id=0c68efd7-17b9-4996-96e3-eb5e7b2f753e&limit=0
SMS C PassProperty,https://data.virginia.gov/api/action/datastore_search?resource_id=0cc8564d-70d5-45ea-804f-fce5a20d3268&limit=0
"Mapping Injury, Overdose, and Violence - County",https://data.virginia.gov/api/action/datastore_search?resource_id=0d09ac55-5093-4ff7-9985-829b63c23645&limit=0
Equal Employment Opportunity (LINC)- NC,https://data.virginia.gov/api/action/datastore_search?resource_id=0d44884e-3680-461e-8a37-36a7a7d4652e&limit=0
Pollutant Nitrogen dioxide (NO2) Daily Data in Virginia (2024),https://data.virginia.gov/api/action/datastore_search?resource_id=0d561d4b-7a8a-48bc-b87d-5042f7621885&limit=0
Police Incident Reports,https://data.virginia.gov/api/action/datastore_search?resource_id=0d8945f5-6886-48ea-bb6f-ea630cec911a&limit=0
Crossings,https://data.virginia.gov/api/action/datastore_search?resource_id=0d9e5539-0e32-474a-9264-f0fc3a690098&limit=0
VATI FY2023 Project Area Shapefile,https://data.virginia.gov/api/action/datastore_search?resource_id=0dd92453-5d76-4ad4-a68f-31c7f03fd27d&limit=0
Product Data for Newly Reported Drugs in the Medicaid Drug Rebate Program 11-10-2025-to-11-16-2025,https://data.virginia.gov/api/action/datastore_search?resource_id=0e1e652c-0cb1-492b-a123-07a09f07e6e9&limit=0
2019 Commercially Reasonable Payments Data set (2025 CPI Update),https://data.virginia.gov/api/action/datastore_search?resource_id=0e5f33ce-77a1-4146-9d62-363ab8eaad6c&limit=0
